id,category_id,sub_category_id,name,description,scientific_name,price,override_price,override,image_path,comments,has_care_sheet,care_sheet_id,is_kingsnake_item,is_active,is_featured,sku
1,1,1,"Pastel Ghost Pair.","This is a great combination of two beautiful animals: A Bell Pastel and a Bell Ghost. These are some fine examples of the Pastel Ghost. Just look at the color and pattern on each one. This pair would be great if bred together because you would get Ghosts, Pastel Ghosts and SUPER Pastel Ghosts. And what is even better is what you could make with this snake. Breed it with any Spider or Pinstripe het Ghost and you could make a Pastel Honeybee or Pastel Ghost Pinstripe. The male and female both weigh in around 250 grams right now. Sorry, no trades at this time. Reasonable offers will be considered. $2,750.00 pair.","Python regius",$2750.00,"",0,"pastghofm3pair1","",0,1,0,0,1,"pp-7113132"
2,1,1,"2007 Male Pastel het Orange Ghost","Beautiful male pastel which is 100 percent het for Bell Line orange ghost. Great animal at an affordable price.
Email any questions to info@prehistoricpets.com or give us a call.","Python regius",$325.00,"",0,"pastelhetghost","",0,1,0,1,0,"pp-711210"
3,1,1,"2007 Male DH Albino and Genetic Stripe (758 grams)","Beautiful male which is 100 percent het for albino and genetic stripe, 758 grams. Ready to breed! He is perfect for your het females and other projects.
Reasonable offers will be considered. EXPORT AVAILABLE. Email questions to info@prehistoricpets.com.","Python regius",$800.00,"",0,"dhalgs","",0,1,0,1,0,"pp-9113115"
7,1,2,"10 ft White Phase Albino Tiger Female","We are down to very few 2006 Albino Tiger Females. This animal is a white phase, classic pattern. We also have the striped phase. These are in the 10 foot range, but could potentially be fed well enough to breed in the 2009/2010 seaon. 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$2500.00,"",0,"adult_lav_retic","",0,2,0,1,1,"pp-7115130"
8,1,2,"Suntiger Retics","We have some great looking Suntigers available right now. This is a great looking double co-dominant snake. Breeding this with anything will give you some Sunfires, some Tigers and some Suntigers, and that is just from breeding it with a normal. Imagine if you crossed the Genetic Stripe or Platinum/Fire gene into it. There are still quite a few cool combo morphs to be made with retics and the Suntiger is a great way to get your project off its feet. Email to inquire on package deals. These are offered for $1,000. Reasonable offers and trades considered. EXPORT AVAILABLE.
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find i","Python reticulatus",$1000.00,"",0,"malepied1","",0,2,0,1,1,"pp-7115139"
12,1,3,"Indian Python Pair","This is a great looking pair of true Indian pythons. These were born here at our facility from our CB parents. These are great looking animals and could make great pets with some handling. Also, they are considered an endangered species. Because we are located in California, the sale of these animals is restricted to within California, unless a proper U.S. Fish and Wildlife permit is obtained. We have larger ones available. Inquire for price and availability. These may or may not be the exact pair that you get. Email for pics. ","Python molurus molurus",$700.00,"0",0,"patternlessrockmale10","Only for sale in CA",0,0,0,1,0,"pp-11"
15,3,0,"Albino Jungle Corn","We have some nice baby Albino Jungle Corns available. They are feeding well and ready for your home. They grow up to make a beautiful pet snake with some nice color. This is a general picture and not the exact snake that you will receive. Email for pics if interested.","Lampropeltis m. californiae x Elaphe gutatta gutatta",$100.00,"",0,"ajungcorn","",0,1,0,1,0,"pp-14"
29,1,2,"Payment for Ed Rossi","asdf","Python reticulatus",$955.00,"",0,"payment","",0,1,0,0,0,"pp-16215214"
31,1,1,"Cb 2007 Pinstripe Ball Python Female.","Cb 2007 Pinstripe Ball Python Female. 120 gram range. Feeding on adult mice, or fuzzy rats. Beautiful well started female, that should be ready next season. EXPORT AVAILABLE. Email or call/text for package deals or more information. 714.397.0414 or Info@PrehistoricPets.com","Python regius",$650.00,"",0,"2femalepinstripe75g","",1,1,0,0,1,"pp-121214124"
34,1,1,"2007 Albino Pastels","Cb 2007 Albino Pastels. Both sexes available, yearlings! $1,650.00 each + Shipping. EXPORT AVAILABLE. Email: Info@prehistoricpets.com Shop: 714.964.3525 Cell: 714.397.0414","Python regius",$1650.00,"",0,"albinopastelmale2","",0,1,0,0,0,"pp-7113142"
35,1,1,"Cb 06 Female Clown 1300+ grams","Cb 2006 1,300+ Gram Female Clown Ball Python. This girl is nearly breedable! This is a rare opportunity for someone to snag one of the best morphs in ball pythons! $6,500.00 + Shipping. EXPORT AVAILABLE! Email: Info@PrehistoricPets.com Shop: 714.964.3525 Cell: 714.397.0414","Python regius",$6500.00,"",0,"clown","",0,1,0,1,0,"pp-711212"
39,1,1,"2008 Female Pewter Ball Python","What a beautiful animal. Great color, awesome pattern, and a perfect addition to your collection. Imagine to ball python morph possibilities which could be made with her. 
Package deals available. EXPORT AVAILABLE. Email: Info@PrehistoricPets.com Call or Text 714.397.0414","Python regius",$1000.00,"",0,"pewterf","",1,1,0,0,0,"pp-1721421"
41,1,1,"CB 2007 Butter Ghosts","Cb 2007 Butter Ghosts. Well started males and females are available. $2,500.00 each package deals, and EXPORT AVAILABLE. Email: Info@PrehistoricPets.com Call or Text 714.397.0414","Python regius",$2500.00,"",0,"butteghost","",1,1,0,0,0,"pp-7113151"
43,1,1,"Cb 2008 Male Cinnamon Het Ghost","CB 2008 Male Cinnamon Pastels 100% het for Ghost, 136 grams. $550.00 Package Deals available, EXPORT AVAILABLE. These are Bell Line Cinnamon Pastels 100% het ghost. 
Email: Info@PrehistoricPets.com Call or Text 714.397.0414","Python regius",$550.00,"",0,"macihegh","",0,1,0,1,1,"pp-9113128"
52,1,1,"2008 Spider Ball Python","Beautiful animal at a great price. We have 1.1 available which are feeding great on hopper mice.
Email: Info@prehistoricPets.com Shop: 714.964.3525 Cell: 714.397.0414","Python regius",$300.00,"",0,"08spider","",0,1,0,1,1,"pp-13210223"
53,1,1,"CB 2007 Male Pastel Yellow Belly","Cb 2007 Pastel Yellow Belly Ball Pythons. We have 1 male left! This is a double incomplete dominant combination. You have a lot of potential with a male like this. Plug him into three affordable females like a spider, a pastel and a yellow belly to make: Bumblebee Yellowbellies, Super Pastel Yellow Bellies, and Pastel Ivories! Package Deals available and EXPORT AVAILABLE. He is currently 388 grams in weight.
Email: Info@PrehitoricPets.com 
Call 714.397.0414","Python regius",$1000.00,"",0,"pastelyellowbelly","",0,1,0,0,1,"pp-7113111"
64,1,2,"Albino Male with Tiger Het Albino Female.","2008 Albino Male with a Tiger Het Albino Female. Your choice of a White or Lavender Albino. You can make normals het albino, tigers het albino, albinos and albino tigers with this pairing. Since this is the multi color Clark strain you can produce whites, lavenders and purples with these animals. EXPORT AVAILABLE. 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$755.00,"",0,"07albntigerhet","",0,2,0,1,1,"pp-7115148"
65,1,2,"2009 Purple Albinos","CB 2009 Purple Albinos, from Bob Clark's multicolor strain of albino. We have been selectively breeding purples to make the best possible. Nice purples available for only $600.00 each. We also have a few 2007 animals available for $1,000.00 each. 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$600.00,"",0,"07purpntighet","",0,1,0,1,1,"pp-16215254"
67,1,2,"Albino Genetic Stripes","Cb 2008 Female Lavender Albino Genetic Stripe. Beautiful morph, which should stay a nice small size from the dwarf blood on the genetic stripe side. We are only releasing one female at this time, but can put together a group of genetic stripe poss hets and poss double hets. EXPORT AVAILABLE 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$5500.00,"",0,"albinogstripe","",0,2,0,1,1,"pp-711516"
68,1,2,"Ultra Ivory Retics","CB 2008 Ultra Ivory Retics from our Ivory X Ivory breeding, making these siblings to our Black Eyed Leucistics. Beautiful snakes, with tons of potential! EXPORT AVAILABLE
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$8500.00,"",0,"albinoreticc","",0,2,0,1,1,"pp-7115114"
69,1,2,"Albino Sunfires","Cb 2008 Albino Sunfire Retics. This is a gorgeous combination and unlike most morphs, these get BETTER with age. They are one of our favorites around here. Sorry but Males are only available in the white phase. EXPORT AVAILABLE 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$8500.00,"",0,"albinosun","",0,2,0,1,1,"pp-7115124"
71,1,2,"Lavender Albino Sunfires","We have a hand full of Lavender Albino Sunfires available. The subtle lavender should be very striking on an adult. Sorry but only females are available in the Lavender phase. EXPORT AVAILABLE 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$10000.00,"",0,"albinosunfires","",0,2,0,1,1,"pp-7115132"
72,1,2,"Albino Tiger Retics","Cb 2008 Albino Tiger Retics. Classic or Striped Phase. Males or Female $755.00 each or $1,500.00 pair. EXPORT AVAILABLE 
To talk/text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$755.00,"",0,"albinotiger","",0,2,0,1,1,"pp-7115140"
73,1,2,"1.1 Granite Back Retics","1.1 CB 2006 Granite Back Retics. These are taking large rats and are well on their way to being future breeders. Their grandfather was Anthrax and their father is a direct son of Anthrax. These are the visual hets for the Anthrax Pattern, and are 50% hets for the anthrax color. $1,500.00 pair + shipping. EXPORT AVAILABLE. text with our reticulated python expert 
call Tim (714) 907-7312 between the hours of 
10am – 8pm pacific time. You can also send 
us an email to info@prehistoricpets.com and we
will answer your questions right away. 
Check out our website for all of our available
reticulated pythons and current breeding projects. 
If you don’t see what you are looking for, let us
know, and we will see if we can find it for you.","Python reticulatus",$1500.00,"",0,"granitebackpair","",0,1,0,1,1,"pp-1821526"
